NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N
8580453,3818,,,"Schöfflisdorf, Gemeindehaus",Schöfflisdorf,Bus,&nbsp;,0,,117,2,Bus,N51,2673619,1261449
8576288,1269,,,"Regensberg, Höfli",Regensberg,Bus,&nbsp;,0,,112,2,Bus,593,2675231,1259393
8593529,6724,,,"Unterengstringen, Langwisen",Unterengstringen,Bus,&nbsp;,0,,154,2,Bus,"302,N30",2676183,1251394
8590805,2236,,,"Schlieren, Zentrum/Bahnhof",Schlieren,"Bus,Tram",&nbsp;,2,,154,3,Bus Tram,"2,20,201,302,307,317,N17,N30,N34,N36",2676230,1250157
8574658,3319,,,"Uitikon, Roracher",Uitikon,Bus,&nbsp;,0,,154,2,Bus,201,2676484,1247306
8590833,1498,,,"Unterengstringen, Langacher",Unterengstringen,Bus,&nbsp;,0,,154,2,Bus,"304,N13",2676567,1251764
8590799,2141,,,"Schlieren, Rütistrasse",Schlieren,Bus,&nbsp;,0,,154,2,Bus,307,2676619,1250491
8576270,2443,,,"Regensdorf, Sportanl Wisacher",Regensdorf,Bus,&nbsp;,0,,111,2,Bus,452,2677118,1254593
8576275,1237,,,"Regensdorf, Holenbach",Regensdorf,Bus,&nbsp;,0,,111,2,Bus,491,2677121,1253880
8576255,2423,,,"Adlikon b. R., Sonnhalde",Adlikon bei Regensdorf,Bus,&nbsp;,0,,111,2,Bus,"453,485,N45",2677192,1256196
8576281,2995,,,"Adlikon b. R., Ziegelhütte",Adlikon bei Regensdorf,Bus,&nbsp;,0,,111,2,Bus,456,2677481,1256249
8502885,1905,,,"Bonstetten, Dorfplatz",Bonstetten,Bus,&nbsp;,0,,155,2,Bus,"210,228,N23",2677791,1240970
8511036,7147,,,"Wettswil a.A., Industrie",Wettswil am Albis,Bus,&nbsp;,0,,155,2,Bus,"200,210",2677816,1243212
8591260,1581,,,"Zürich, Loogarten",Zürich,Bus,&nbsp;,0,,110,2,Bus,35,2678047,1249247
8591215,3153,,,"Zürich, Juchhof",Zürich,Bus,&nbsp;,0,,110,2,Bus,307,2678097,1250236
8591284,1698,,,"Zürich, Neeserweg",Zürich,Bus,&nbsp;,0,,110,2,Bus,35,2678225,1249379
8591328,2140,,,"Zürich, Rütihof",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"46,N4",2678395,1251951
8591155,944,,,"Zürich, Geeringstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"46,485,89,N4",2678622,1252036
8573732,1689,,,"Aeugstertal, Müliberg",Aeugstertal,Bus,&nbsp;,0,,151,2,Bus,"225,235,N24",2678671,1237243
8591136,872,,,"Zürich, Frankental",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"13,304,485,89,N13",2678725,1251040
8502227,13735,,,Steinhausen,Steinhausen,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,,1,Bahn,S5,2678800,1227600
8591036,47,,,"Zürich, Albisrieden",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"3,80,N3,N8",2679010,1247587
8591435,2935,,,"Zürich, Winzerstrasse",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"13,80,N13,N8",2679082,1250853
8591097,542,,,"Zürich, Bristenstrasse",Zürich,Bus,&nbsp;,0,,110,2,Bus,"35,78,80,83,89,N1,N12,N8",2679158,1249334
8503057,12531,,,Uetliberg,Uetliberg,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,155,1,Bahn,S10,2679250,1245088
8503697,41,,,"Aeugstertal, Kloster",Aeugstertal,Bus,&nbsp;,0,,151,2,Bus,"235,236",2679296,1237586
8573724,11,,,"Stallikon, Aegerten",Stallikon,Bus,&nbsp;,0,,155,2,Bus,"227,235,236,N23",2679526,1241576
8591371,2402,,,"Zürich, Singlistrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"46,N4",2679621,1251012
8591896,6648,,,"Zürich, Würzgraben",Zürich,Tram,&nbsp;,2,,110,5,Tram,4,2679743,1249566
8502554,1971,,,"Rifferswil, Oberrifferswil",Rifferswil,Bus,&nbsp;,0,,151,2,Bus,"223,232,N24",2680177,1232880
8591334,2142,,,"Zürich, SBB-Werkstätte",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"31,N1",2680395,1248960
8591353,2306,,,"Zürich, Schwert",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"13,38,46,N13,N4",2680483,1250425
8576262,2968,,,"Zürich, Zehntenhausplatz",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"32,37,492,61,62,N2",2680579,1252587
8591074,467,,,"Zürich, Bernoulli-Häuser",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"17,8,N17",2680787,1249766
8503081,843,,,Felsenegg,Felsenegg,Luftseilbahn,&nbsp;,0,,155,6,Bergbahn,LAF,2680816,1240468
8591398,718,,,"Zürich, Toni-Areal",Zürich,Tram,&nbsp;,2,,110,5,Tram,4,2680943,1249370
8591385,2596,,,"Zürich, Strassenverkehrsamt",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"13,17,32,89,N2",2681045,1245254
8589511,7131,,,"Hilfikon, Sandbüel",Hilfikon,Bus,&nbsp;,0,,,2,Bus,N32,2660998,1242328
